st_cty,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,Th5_Irregular_Care_Seeking_Behavior,CVAC
AL Autauga County,0.419611589,0.231454951,0.827761859,0.484240688,0.830308819,0.607768227
AL Baldwin County,0.228589621,0.150270614,0.170964661,0.391276663,0.726838586,0.227952881
AL Barbour County,0.505571474,0.991404011,0.621776504,0.966252786,0.694683222,0.88506845
AL Bibb County,0.41006049,0.888252149,0.335880293,0.842088507,0.834447628,0.76440624
AL Blount County,0.440305635,0.716014008,0.850684495,0.580388411,0.837949698,0.795288125
AL Bullock County,0.556829035,0.963069086,0.363896848,0.971665075,0.76472461,0.843043617
AL Butler County,0.521171601,0.9417383,0.716969118,0.8802929,0.719197708,0.88475008
AL Calhoun County,0.455587393,0.666029927,0.323782235,0.738936644,0.769181789,0.657752308
AL Chambers County,0.361986628,0.912448265,0.70678128,0.900986947,0.594396689,0.808341293
AL Cherokee County,0.303406558,0.710283349,0.688634193,0.559694365,0.82585164,0.699140401
AL Chilton County,0.46864056,0.860553964,0.678127985,0.76440624,0.847182426,0.842406877
AL Choctaw County,0.554918816,0.88379497,0.52785737,0.94333015,0.665393187,0.830627189
AL Clarke County,0.566061764,0.952562878,0.375994906,0.919134034,0.729067176,0.82362305
AL Clay County,0.374721426,0.666348297,0.47150589,0.674307545,0.818847501,0.678127985
AL Cleburne County,0.371856097,0.64947469,0.864374403,0.755810252,0.860553964,0.814390322
AL Coffee County,0.29608405,0.333970073,0.434574976,0.799108564,0.803565743,0.567335244
AL Colbert County,0.198344476,0.7055078,0.336517033,0.664438077,0.64565425,0.525310411
AL Conecuh County,0.524673671,0.917223814,0.76440624,0.908309456,0.671442216,0.886978669
AL Coosa County,0.458134352,0.76185928,0.843680357,0.455269023,0.606494747,0.714422159
AL Covington County,0.487424387,0.676217765,0.672397326,0.773638968,0.815982171,0.795606495
AL Crenshaw County,0.440942375,0.858962114,0.663801337,0.839541547,0.811524992,0.841451767
AL Cullman County,0.274753263,0.554918816,0.324737345,0.553645336,0.810251512,0.512257243
AL Dale County,0.427252467,0.582935371,0.82425979,0.732569245,0.818529131,0.787647246
AL Dallas County,0.52722063,0.88283986,0.387774594,0.978669214,0.570518943,0.776822668
AL DeKalb County,0.396688953,0.857688634,0.541547278,0.801973894,0.841770137,0.799108564
AL Elmore County,0.460999682,0.207577205,0.76313276,0.510665393,0.828080229,0.600127348
AL Escambia County,0.538681948,0.94014645,0.573065903,0.795606495,0.844317096,0.861190704
AL Etowah County,0.397325692,0.677809615,0.35307227,0.786055396,0.695956702,0.643744031
AL Fayette County,0.375039796,0.730022286,0.23495702,0.854823305,0.819484241,0.680993314
AL Franklin County,0.425023878,0.898758357,0.591531359,0.733842725,0.898758357,0.82553327
AL Geneva County,0.407831901,0.786692136,0.786055396,0.861190704,0.732250876,0.829672079
AL Greene County,0.536134989,0.974848774,0.711556829,0.990130532,0.532951289,0.876472461
AL Hale County,0.494110156,0.895574658,0.756765361,0.94046482,0.568290353,0.853868195
AL Henry County,0.430436167,0.41292582,0.683858644,0.834447628,0.583890481,0.654250239
AL Houston County,0.420885068,0.632919452,0.162050302,0.838586437,0.712193569,0.598853868
AL Jackson County,0.275071633,0.716969118,0.476599809,0.560967845,0.755810252,0.606494747
